,Prompt,Prompt Model,MRC,MSC,Success Rate
9,10,alpacca,33.8965,0.24862812099999998,0.6365000000000001
8,9,alpacca,31.785000000000004,0.24484240694999998,0.6245
7,8,alpacca,34.7205,0.23785394589999997,0.623
2,3,alpacca,32.918,0.27786987674999997,0.613
1,2,alpacca,26.1835,0.21393038435,0.6045
3,4,alpacca,21.749,0.18259719200000002,0.5845
0,1,alpacca,16.5905,0.17769128899999997,0.5640000000000001
4,5,alpacca,15.067,0.12142817258500001,0.5625
5,6,alpacca,-16.813000000000002,-0.130032658487,0.394
6,7,alpacca,-20.258,-0.153162581945,0.3845
