Prompt Model,Prompt,Iter,Model,MRC,MSC,Success Rate
alpacca,8,1,electra,47.065,0.2874844329,0.669
chatgpt,4,1,t5,-17.509,-0.08729387276,0.421
chatgpt,10,1,electra,32.644,0.1773595809,0.64
alpacca,9,1,electra,45.636,0.2882997576,0.674
alpacca,3,1,t5,20.987,0.2111634376,0.568
alpacca,7,1,t5,-39.483,-0.2859552855,0.304
alpacca,1,1,t5,26.598,0.2619690634,0.579
chatgpt,7,1,electra,-16.237,-0.1392645496,0.388
alpacca,6,1,t5,-37.283,-0.259327313,0.318
chatgpt,6,1,electra,-14.341,-0.1243549621,0.41
alpacca,2,2,electra,19.274,0.1499198222,0.587
chatgpt,2,1,electra,19.051,0.1478181975,0.577
alpacca,1,2,t5,20.35,0.1886921454,0.559
chatgpt,8,1,t5,3.765,0.09647431503,0.512
alpacca,5,1,t5,9.117,0.09376513307,0.514
alpacca,4,1,t5,18.769,0.1660808615,0.553
alpacca,4,1,electra,24.729,0.1991135225,0.616
alpacca,4,2,t5,17.876,0.1742383231,0.562
alpacca,9,1,t5,17.934,0.2013850563,0.575
chatgpt,6,1,t5,-49.796,-0.3408638557,0.279
chatgpt,3,1,electra,28.804,0.1723491012,0.616
chatgpt,7,1,t5,-51.771,-0.343173344,0.276
alpacca,8,1,t5,22.376,0.1882234589,0.577
alpacca,2,1,t5,31.409,0.2511773015,0.607
alpacca,10,1,t5,23.638,0.2286945811,0.597
chatgpt,1,1,t5,7.367,0.07284010169,0.538
alpacca,3,2,electra,49.134,0.3547813268,0.651
chatgpt,9,1,t5,-0.986,0.06411253472,0.494
chatgpt,1,1,electra,-9.248,-0.07072556204,0.493
alpacca,6,1,electra,3.657,-0.000738003974,0.47
chatgpt,2,1,t5,40.308,0.2899799726,0.637
alpacca,7,1,electra,-1.033,-0.02036987839,0.465
chatgpt,10,1,t5,2.166,0.02728591961,0.495
chatgpt,4,1,electra,-8.454,-0.05908949769,0.459
chatgpt,3,1,t5,8.833,0.07434450596,0.489
chatgpt,9,1,electra,33.295,0.1954865837,0.649
alpacca,3,2,t5,22.621,0.2007472997,0.567
chatgpt,8,1,electra,39.005,0.2296836717,0.657
chatgpt,5,1,electra,-6.084,-0.05011735981,0.505
alpacca,1,1,electra,6.583,0.0934135146,0.549
alpacca,10,1,electra,44.155,0.2685616609,0.676
alpacca,3,1,electra,44.849,0.3445763159,0.658
chatgpt,5,1,t5,-0.267,0.06309019435,0.506
alpacca,5,2,t5,10.24,0.09973137573,0.51
alpacca,2,2,t5,29.973,0.2336888581,0.584
alpacca,1,2,electra,-2.201,0.0193215626,0.547
alpacca,4,2,electra,21.383,0.1923056081,0.6
alpacca,5,2,electra,20.632,0.1469175429,0.605
alpacca,5,1,electra,21.017,0.1490912121,0.611
alpacca,2,1,electra,20.958,0.1766834672,0.602
